ids,label
0,neg
1,neg
2,pos
3,neg
4,neg
5,neg
6,neg
7,neg
8,neg
9,neg
10,neg
11,pos
12,neg
13,pos
14,pos
15,neg
16,neg
17,neg
18,pos
19,pos
20,pos
21,pos
22,neg
23,neg
24,pos
25,pos
26,pos
27,pos
28,pos
29,pos
30,neg
31,neg
32,neg
33,pos
34,pos
35,neg
36,neg
37,pos
38,neg
39,pos
40,pos
41,neg
42,pos
43,pos
44,neg
45,neg
46,pos
47,pos
48,pos
49,pos
50,neg
51,pos
52,pos
53,pos
54,neg
55,neg
56,neg
57,pos
58,pos
59,pos
60,neg
61,pos
62,neg
63,neg
64,neg
65,pos
66,pos
67,neg
68,pos
69,pos
70,neg
71,pos
72,neg
73,neg
74,pos
75,neg
76,pos
77,pos
78,neg
79,pos
80,pos
81,neg
82,pos
83,pos
84,pos
85,neg
86,pos
87,neg
88,pos
89,neg
90,neg
91,pos
92,neg
93,pos
94,neg
95,pos
96,neg
97,pos
98,neg
99,neg
100,pos
101,neg
102,pos
103,neg
104,neg
105,neg
106,pos
107,pos
108,neg
109,pos
110,neg
111,pos
112,pos
113,neg
114,neg
115,neg
116,pos
117,neg
118,pos
119,pos
120,neg
121,pos
122,pos
123,neg
124,neg
125,pos
126,pos
127,pos
128,pos
129,neg
130,neg
131,pos
132,neg
133,pos
134,pos
135,neg
136,neg
137,pos
138,neg
139,pos
140,pos
141,neg
142,pos
143,pos
144,pos
145,pos
146,pos
147,pos
148,pos
149,neg
150,neg
151,pos
152,neg
153,pos
154,pos
155,pos
156,neg
157,pos
158,neg
159,neg
160,neg
161,neg
162,neg
163,pos
164,pos
165,pos
166,neg
167,neg
168,neg
169,pos
170,neg
171,neg
172,pos
173,pos
174,neg
175,pos
176,pos
177,pos
178,neg
179,neg
180,neg
181,pos
182,neg
183,pos
184,neg
185,neg
186,pos
187,pos
188,pos
189,pos
190,neg
191,pos
192,neg
193,pos
194,pos
195,pos
196,pos
197,neg
198,pos
199,pos
200,neg
201,neg
202,neg
203,neg
204,neg
205,neg
206,pos
207,neg
208,pos
209,pos
210,neg
211,pos
212,neg
213,pos
214,neg
215,pos
216,neg
217,pos
218,pos
219,neg
220,pos
221,pos
222,neg
223,neg
224,pos
225,neg
226,neg
227,pos
228,neg
229,pos
230,pos
231,neg
232,neg
233,pos
234,pos
235,pos
236,pos
237,neg
238,neg
239,neg
240,neg
241,pos
242,neg
243,pos
244,pos
245,pos
246,neg
247,neg
248,pos
249,neg
250,neg
251,neg
252,neg
253,pos
254,pos
255,neg
256,pos
257,neg
258,pos
259,pos
260,neg
261,pos
262,pos
263,neg
264,pos
265,neg
266,pos
267,pos
268,pos
269,neg
270,pos
271,neg
272,pos
273,pos
274,neg
275,neg
276,neg
277,neg
278,neg
279,neg
280,neg
281,neg
282,pos
283,pos
284,pos
285,neg
286,neg
287,neg
288,neg
289,neg
290,pos
291,neg
292,neg
293,pos
294,pos
295,pos
296,pos
297,pos
298,pos
299,pos
300,neg
301,pos
302,pos
303,neg
304,pos
305,neg
306,neg
307,pos
308,pos
309,neg
310,neg
311,neg
312,neg
313,neg
314,pos
315,pos
316,neg
317,neg
318,neg
319,neg
320,pos
321,neg
322,pos
323,pos
324,pos
325,pos
326,neg
327,pos
328,neg
329,neg
330,pos
331,neg
332,pos
333,pos
334,neg
335,pos
336,neg
337,pos
338,pos
339,pos
340,neg
341,pos
342,pos
343,pos
344,neg
345,neg
346,neg
347,neg
348,pos
349,pos
350,pos
351,neg
352,pos
353,neg
354,neg
355,neg
356,neg
357,pos
358,pos
359,neg
360,neg
361,neg
